#{"t_start": 1781910059.008159, "env_id": "None"}
r,l,t
-6.19,53,19.716758
-2.11,12,19.78242
-5.42,61,20.122821
-1.97,5,20.174891
-2.31,12,20.249175
-5.61,84,20.523347
-6.81,46,20.797762
-6.73,45,20.973092
-6.35,53,21.158008
-2.03,9,21.193298
-6.49,46,21.345002
-1.98,8,21.376062
-5.97,62,21.577628
-5.42,63,24.827174
-5.85,46,24.976038
-1.9,6,24.997588
-6.71,44,25.140494
-6.49,55,25.293119
-1.98,9,25.321476
-6.44,51,25.473413
-2.19,11,25.50856
-2.19,15,25.552666
-1.97,8,25.579679
-1.97,10,25.613031
-2.05,10,25.644044
-2.05,14,25.687192
-2.12,11,25.719
-6.43,64,25.895658
-2.25,14,25.941675
-5.97,57,26.094999
-2.03,5,26.113954
-2.25,8,26.141029
-6.49,48,26.803035
-2.17,11,26.833151
-6.75,51,26.960715
-1.93,7,26.979058
-5.59,56,27.126188
-6.6,46,27.242995
-7.12,44,27.370737
-2.11,8,27.395196
-1.97,6,27.414016
1.41,20,27.465354
-6.6,49,27.594876
-6.48,46,27.725182
-6.37,53,27.872881
-6.53,50,28.029552
-2.11,8,28.054701
-2.53,19,28.10866
-5.95,53,28.818959
-2.05,9,28.852506
-1.92,10,28.888363
-2.08,14,28.938586
-2.05,9,28.975351
-3.29,17,29.039911
-2.11,8,29.070166
-2.11,8,29.098371
-6.74,46,29.250848
-2.11,9,29.282213
-6.68,48,29.436445
-6.3,45,29.605736
1.88,16,29.651568
-2.17,17,29.704924
-2.02,10,29.741528
-6.41,48,29.87475
-6.49,61,30.029484
-1.93,7,30.048348
-6.21,44,30.169787
-1.97,10,30.200999
-6.43,46,30.780574
1.88,25,30.847268
-2.25,13,30.888179
-6.63,48,31.023834
-6.31,59,31.189065
-1.98,7,31.21105
-6.38,50,31.363548
-5.12,65,31.544818
-5.72,74,31.745932
-6.43,51,31.908933
-6.51,54,32.080971
-1.93,5,32.100266
-6.6,45,32.253372
-6.79,45,32.805408
-2.05,9,32.832984
-6.35,48,32.947917
-5.81,79,33.140718
1.41,19,33.189359
-5.77,77,33.375069
-5.42,65,33.551944
-6.57,51,33.68945
-2.57,13,33.722385
-6.67,50,33.870249
-6.49,48,33.999573
-6.53,50,34.621635
-2.05,16,34.667772
-6.29,56,34.822596
-4.08,127,35.186384
-6.44,48,35.325243
-6.34,50,35.475338
-6.58,49,35.634413
-1.88,9,35.667957
-6.3,54,35.830956
-6.81,47,35.98051
-6.83,45,36.602688
-2.05,8,36.630662
-2.11,9,36.668341
-1.97,7,36.695133
-2.39,12,36.735156
-6.43,55,36.885375
-1.98,10,36.914902
-2.12,10,36.945586
-2.19,8,36.971643
-6.08,49,37.099726
-6.37,49,37.233332
-6.77,46,37.368131
-6.14,58,37.523452
-1.97,10,37.552809
-6.74,48,37.679644
-1.98,6,37.698996
-6.43,50,37.832545
-2.2,14,37.871019
-6.34,48,38.466773
-5.65,86,38.679945
-5.95,54,38.837514
-1.93,7,38.856757
-1.98,6,38.875733
-6.39,58,39.039196
-6.6,52,39.183535
-1.93,5,39.198777
-6.81,49,39.349126
1.46,21,39.403839
-6.21,59,39.557935
-6.13,87,39.787148
-2.03,9,39.813515
-2.11,8,39.841621
-2.05,7,40.321997
-6.59,51,40.458398
-6.04,59,40.608721
-6.5,48,40.737883
-2.17,10,40.765069
-2.11,8,40.790608
-6.23,53,40.925591
-6.67,56,41.0719
-1.97,8,41.096682
-2.12,15,41.135825
-5.83,60,41.302161
-6.64,45,41.433044
-2.05,13,41.470438
-6.51,47,41.599653
-6.05,61,42.342158
-6.29,51,42.479694
-5.64,86,42.716712
-2.17,9,42.74703
-2.17,10,42.780669
1.88,14,42.817218
-6.43,50,42.957342
-6.46,53,43.092794
-6.72,46,43.214422
-6.6,47,43.342379
-1.96,10,43.369571
-1.97,6,43.385296
-1.96,7,43.403501
-1.96,7,43.422935
-6.44,48,43.545692
-2.03,6,43.56671
-5.12,78,44.166669
-2.03,9,44.188926
-2.31,16,44.228034
-5.99,58,44.374442
-2.17,11,44.402723
-6.29,54,44.529127
-2.3,14,44.564955
-1.92,7,44.581651
-6.08,54,44.711626
-6.57,51,44.84348
-5.96,61,45.008367
-6.37,50,45.144164
-6.73,45,45.273162
-5.85,57,45.895689
-6.65,50,46.026376
-2.05,9,46.052484
-1.92,7,46.075275
-6.65,49,46.214166
-2.19,17,46.259931
-1.97,7,46.28349
-6.8,46,46.416887
-1.93,13,46.457037
-1.93,7,46.478678
-1.97,7,46.501205
-5.85,51,46.652876
-2.17,16,46.707041
-2.17,9,46.733833
-1.98,7,46.757429
-2.05,4,46.77218
-6.55,49,46.895264
-1.92,11,46.921513
-6.43,53,47.056042
-1.97,7,47.078348
-2.19,10,47.105347
-1.92,6,47.121372
-1.92,11,47.149106
-2.19,11,47.177608
-5.22,60,47.809237
-6.51,49,47.970827
-6.58,52,48.15005
-6.73,47,48.32796
-6.43,55,48.527109
-2.03,4,48.546002
-1.93,7,48.572191
-6.21,50,48.713994
-5.34,82,48.933209
-6.46,56,49.075763
-6.44,51,49.207615
-6.77,42,49.751035
-1.93,8,49.771991
-1.97,11,49.800791
-6.81,46,49.926468
-6.6,55,50.064887
-6.65,47,50.178438
-1.92,11,50.204855
-6.41,63,50.368727
-6.51,57,50.513451
-2.17,11,50.54758
1.41,19,50.598738
-2.12,12,50.632196
-2.19,17,50.679783
-6.46,51,50.830543
-5.47,63,51.008291
-6.43,60,51.628619
-2.05,10,51.65868
-1.98,13,51.694552
-2.03,9,51.726815
-6.73,48,51.876039
-1.93,11,51.909421
-6.79,47,52.040284
-6.67,49,52.179283
-6.1,64,52.356886
-6.63,50,52.489809
-6.43,52,52.616336
-5.85,52,52.745072
-2.11,6,52.763965
1.88,17,52.80629
-2.11,12,52.838073
-1.92,14,52.876705
-2.02,9,52.90359
-5.88,62,53.497489
