time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/loss
1,38.15384615384615,512,-4.613076923076924,64,7,,,,,,,,,,
2,31.15625,1024,-4.007187500000001,81,12,0.20654040426015854,-0.9861139006912708,0.008780502,10,-0.03410744714783505,0.0003,0.26343870162963867,0.0857421875,0.2,-0.02001776359975338
3,31.645833333333332,1536,-4.128541666666666,105,14,0.3049441325478256,-0.9205544084310532,0.007923156,20,-0.02375669777393341,0.0003,0.033804357051849365,0.0759765625,0.2,0.043321214616298676
4,29.529411764705884,2048,-3.9247058823529413,123,16,0.4104668105021119,-0.7857021629810333,0.00856466,30,-0.030131127743516117,0.0003,-0.12504065036773682,0.0814453125,0.2,0.05501597002148628
5,31.48148148148148,2560,-4.040617283950618,137,18,0.2947521965019405,-0.8563464041799307,0.011292502,40,-0.03725663634249941,0.0003,-0.30328452587127686,0.1080078125,0.2,0.022792283445596695
6,33.19565217391305,3072,-4.13445652173913,150,20,0.21384394615888597,-0.9300477527081966,0.011569763,50,-0.032513906620442866,0.0003,0.20315313339233398,0.115625,0.2,-0.005979582667350769
7,34.95,3584,-4.2537,160,22,0.2570651259738952,-0.8689295493066311,0.008594285,60,-0.025251066382043063,0.0003,-0.016170978546142578,0.077734375,0.2,0.024204667657613754
8,32.84,4096,-4.1166,168,24,0.1809556358959526,-0.9841222375631332,0.012987589,70,-0.03702693720697425,0.0003,-0.22884738445281982,0.1326171875,0.2,-0.017773352563381195
9,35.47,4608,-4.281299999999999,175,26,0.27391914865002037,-0.7777394756674767,0.008414295,80,-0.02898179998155683,0.0003,0.1899154782295227,0.093359375,0.2,-0.002746645361185074
10,35.64,5120,-4.3033,182,28,0.19103108358103782,-1.0611708022654056,0.013620432,90,-0.028184392827097327,0.0003,-0.2908761501312256,0.1201171875,0.2,-0.03054611012339592
11,37.08,5632,-4.411899999999999,187,30,0.12216783408075571,-0.811374056339264,0.012184263,100,-0.028577391779981552,0.0003,0.5582793951034546,0.1099609375,0.2,-0.045026734471321106
12,37.07,6144,-4.4549,193,31,0.2582656882237643,-0.813703091815114,0.0093072,110,-0.026240707340184598,0.0003,-0.005977988243103027,0.08125,0.2,-0.013891147449612617
13,31.03,6656,-4.0367,197,33,0.11149622700177134,-0.8047082401812077,0.00941398,120,-0.025153231574222445,0.0003,0.324743390083313,0.0818359375,0.2,-0.031459253281354904
14,33.56,7168,-4.225899999999999,201,35,0.1914335496723652,-0.868398779630661,0.010039024,130,-0.02941415903624147,0.0003,0.08318734169006348,0.105078125,0.2,-0.018306706100702286
15,32.77,7680,-4.1171999999999995,205,37,0.15147947086952626,-0.6006878774613142,0.008231673,140,-0.014233598718419671,0.0003,0.40607964992523193,0.05859375,0.2,-0.013553035445511341
16,32.47,8192,-4.1141000000000005,208,39,0.23358686149585992,-0.8349740974605083,0.011476085,150,-0.025773736997507513,0.0003,0.3624180555343628,0.097265625,0.2,-0.005180101841688156
17,31.92,8704,-4.080100000000001,210,41,0.22364805629476905,-0.8079155869781971,0.009203525,160,-0.025317850010469555,0.0003,0.33793699741363525,0.068359375,0.2,-0.03212276101112366
18,33.07,9216,-4.1391,212,43,0.25523177362047134,-0.677458118647337,0.007628919,170,-0.0202408563811332,0.0003,0.16429215669631958,0.060546875,0.2,-0.01281403936445713
19,33.31,9728,-4.0518,215,45,0.2056961761554703,-0.8002258524298668,0.01002569,180,-0.02417554969433695,0.0003,-0.37633848190307617,0.0994140625,0.2,-0.021733613684773445
20,36.42,10240,-4.2579,217,47,0.12037595479050651,-0.8114188641309739,0.008004146,190,-0.019221591157838704,0.0003,0.4673508405685425,0.0640625,0.2,0.002364641986787319
21,36.88,10752,-4.3225999999999996,219,48,0.11834589336067439,-0.7923764176666737,0.009252568,200,-0.019794046669267117,0.0003,0.3680148720741272,0.08671875,0.2,-0.037548404186964035
22,37.76,11264,-4.3375,221,50,0.14496473313774913,-0.7032020382583142,0.007896013,210,-0.014115419914014637,0.0003,0.5351765155792236,0.069921875,0.2,-0.01409817487001419
23,39.31,11776,-4.382900000000001,223,52,0.07969708120217547,-0.6494937688112259,0.0112855295,220,-0.024956557352561505,0.0003,0.7312048673629761,0.0955078125,0.2,-0.028206825256347656
24,36.76,12288,-4.2105,224,54,0.13449980983277782,-0.8062803603708744,0.009303648,230,-0.025875949021428823,0.0003,0.375679612159729,0.080859375,0.2,-0.025045061483979225
25,37.38,12800,-4.3442,226,56,0.12305949887959286,-0.738924141228199,0.010961243,240,-0.029743345559109003,0.0003,-0.09892189502716064,0.1087890625,0.2,-0.043843917548656464
26,37.65,13312,-4.3539,228,58,0.1318935200048145,-0.5198704276233912,0.0071884794,250,-0.022649187891511248,0.0003,-0.016817569732666016,0.0693359375,0.2,-0.03754235804080963
27,37.06,13824,-4.3674,229,60,0.1393490780843422,-0.7585589319467545,0.014170208,260,-0.02746227034367621,0.0003,0.16599887609481812,0.1056640625,0.2,-0.024241987615823746
28,37.33,14336,-4.29,230,62,0.10583580749807879,-0.6342242460697889,0.009320204,270,-0.018518750113435088,0.0003,0.4742549657821655,0.0744140625,0.2,-0.012887531891465187
29,37.92,14848,-4.3372,231,64,0.07870675128651783,-0.6361426547169685,0.010206722,280,-0.02141013122163713,0.0003,0.6963430643081665,0.0869140625,0.2,-0.008269701153039932
30,35.41,15360,-4.196200000000001,232,65,0.11130549468798563,-0.48945278078317644,0.005311598,290,-0.013123684050515293,0.0003,0.4188075065612793,0.0451171875,0.2,-0.006978239864110947
31,38.45,15872,-4.4193,233,67,0.12375588252907618,-0.5169175338000059,0.0076461053,300,-0.021319819148629904,0.0003,0.39214783906936646,0.06015625,0.2,-0.01533908024430275
32,38.04,16384,-4.4154,234,70,0.16553530858363957,-0.369383592158556,0.005231009,310,-0.014557937998324633,0.0003,0.39484280347824097,0.0400390625,0.2,-0.007604572921991348
33,38.37,16896,-4.296099999999999,234,71,0.15724370706593618,-0.4565773708745837,0.006433048,320,-0.01654767325380817,0.0003,0.020106077194213867,0.0498046875,0.2,-0.029628975316882133
34,39.67,17408,-4.3518,235,74,0.26677558838855475,-0.5381837856024504,0.0110089965,330,-0.024574635829776526,0.0003,-0.141119122505188,0.08515625,0.2,-0.004995638504624367
35,38.61,17920,-4.24,235,76,0.18279084560927003,-0.6256999362260103,0.0076587084,340,-0.014666765276342631,0.0003,-0.263813853263855,0.0529296875,0.2,-0.0013882573693990707
36,36.61,18432,-4.168800000000001,235,78,0.16332583627663552,-0.5005861818790436,0.0075449524,350,-0.01993538800161332,0.0003,-0.14901316165924072,0.048046875,0.2,-0.026211287826299667
37,36.52,18944,-4.1912,236,80,0.11596622506622226,-0.29031167309731243,0.0063926503,360,-0.01634267051704228,0.0003,0.4524250626564026,0.047265625,0.2,-0.006571304984390736
38,36.44,19456,-4.208600000000001,236,82,0.1875067796325311,-0.44930403381586076,0.006607767,370,-0.018741434230469166,0.0003,-0.1606374979019165,0.0509765625,0.2,-0.0365229994058609
39,36.03,19968,-4.1438,237,84,0.09693510318174958,-0.42525446265935896,0.008238785,380,-0.020981413358822466,0.0003,0.4589850902557373,0.0697265625,0.2,-0.021069593727588654
40,35.8,20480,-4.1721,237,86,0.24065114419208838,-0.3726286435499787,0.0043287063,390,-0.012349557783454656,0.0003,0.0928993821144104,0.0291015625,0.2,-0.023910121992230415
41,34.78,20992,-4.065200000000001,238,88,0.27613953496329485,-0.4207763660699129,0.0054885205,400,-0.014354470412945375,0.0003,-0.7429170608520508,0.0455078125,0.2,-0.02270386554300785
42,34.07,21504,-4.0696,238,89,0.2240595125593245,-0.5453437220305204,0.008816962,410,-0.020230067800730465,0.0003,-0.6101627349853516,0.078125,0.2,0.0027841441333293915
43,34.71,22016,-4.0516000000000005,239,92,0.21897744841407984,-0.3664556235074997,0.0059245643,420,-0.017928142251912506,0.0003,-0.17035245895385742,0.060546875,0.2,-0.02901901677250862
44,33.89,22528,-3.9117,239,94,0.1010586281772703,-0.4235735598951578,0.0070992513,430,-0.014916277956217527,0.0003,0.6191228628158569,0.06171875,0.2,-0.0054617393761873245
45,34.16,23040,-3.9432,240,95,0.21272231028415262,-0.47920796386897563,0.017391652,440,-0.020388195058330894,0.0003,-0.45163214206695557,0.0822265625,0.2,-0.034762877970933914
46,34.65,23552,-4.006899999999999,240,97,0.271765673160553,-0.34215135518461465,0.0040428108,450,-0.01203433945775032,0.0003,0.3387566804885864,0.0353515625,0.2,-0.018734071403741837
47,36.25,24064,-4.025799999999999,241,99,0.10567968796240165,-0.40272241048514845,0.0075399186,460,-0.01564706169301644,0.0003,0.32971155643463135,0.050390625,0.2,-0.03521756827831268
48,37.34,24576,-4.0019,241,101,0.0551073856127914,-0.466564804688096,0.007542466,470,-0.016634175938088448,0.0003,0.5517784953117371,0.0701171875,0.2,-0.03690514340996742
49,37.09,25088,-4.096699999999999,242,103,0.23106639906764032,-0.35614332370460033,0.008248905,480,-0.02319678822532296,0.0003,-0.02775442600250244,0.046875,0.2,-0.01419027615338564
50,34.71,25600,-3.8697999999999997,242,105,0.0918461206369102,-0.39272067658603194,0.0065179234,490,-0.016237361694220454,0.0003,0.649854302406311,0.0486328125,0.2,-0.019380193203687668
51,36.82,26112,-4.072100000000001,243,107,0.29597433891613034,-0.3512499786913395,0.005110036,500,-0.016486610006541013,0.0003,-0.025217652320861816,0.0462890625,0.2,0.002707596868276596
52,36.83,26624,-4.2482,243,109,0.12479285689769312,-0.26291449312120674,0.005589328,510,-0.014837235491722823,0.0003,0.3229951858520508,0.0462890625,0.2,-0.024608362466096878
53,34.77,27136,-4.0184999999999995,243,111,0.14501035737339407,-0.2810037784278393,0.004969856,520,-0.00851727263070643,0.0003,0.6355183720588684,0.029296875,0.2,0.0038449689745903015
54,33.88,27648,-4.185300000000001,244,113,0.2145902109099552,-0.4133790548890829,0.0060838247,530,-0.01592495703371242,0.0003,0.5347843766212463,0.05078125,0.2,-0.012273591011762619
55,33.88,28160,-4.189400000000001,244,115,0.19462551679462195,-0.2427150258794427,0.003883745,540,-0.009080922917928547,0.0003,-0.10047924518585205,0.02109375,0.2,-0.009250747039914131
56,35.44,28672,-4.3582,245,117,0.14410019046626985,-0.28573283962905405,0.009068179,550,-0.01926555363461375,0.0003,0.20125943422317505,0.054296875,0.2,-0.034067846834659576
57,36.09,29184,-4.3227,245,118,0.1271578040672466,-0.38162781223654746,0.0077169593,560,-0.016129453061148526,0.0003,0.3298940062522888,0.0619140625,0.2,-0.0035468051210045815
58,36.53,29696,-4.2786,245,120,0.2485064248321578,-0.45952850915491583,0.009128656,570,-0.01986267922911793,0.0003,-0.38688230514526367,0.0603515625,0.2,-0.017473455518484116
59,36.16,30208,-4.220199999999999,245,122,0.12304219262441621,-0.4102746654301882,0.011389224,580,-0.02435103808529675,0.0003,0.012506425380706787,0.094921875,0.2,-0.037551961839199066
60,37.26,30720,-4.2723,246,124,0.1402544001233764,-0.2651699649170041,0.009335663,590,-0.015377804241143166,0.0003,0.24096405506134033,0.0462890625,0.2,-0.03425128385424614
61,37.83,31232,-4.335899999999999,246,126,0.22275500464020298,-0.3607656665146351,0.013658524,600,-0.01789096494903788,0.0003,0.11387652158737183,0.05390625,0.2,-0.004695548675954342
62,36.13,31744,-4.0482000000000005,247,128,0.10270302444696426,-0.3580206179991364,0.012415826,610,-0.021451538533437998,0.0003,0.4524211287498474,0.0587890625,0.2,-0.05604053661227226
63,36.25,32256,-4.005,247,130,0.18933366989949718,-0.4097170427441597,0.017425725,620,-0.03056314093992114,0.0003,0.28315114974975586,0.074609375,0.2,-0.030878858640789986
64,35.64,32768,-3.96,247,132,0.19791359293740243,-0.3676942804828286,0.0062566735,630,-0.016589379985816777,0.0003,-0.48856258392333984,0.0517578125,0.2,-0.024964015930891037
65,36.43,33280,-4.032699999999999,248,134,0.20297890501096844,-0.3296010732650757,0.006402222,640,-0.01654347850708291,0.0003,0.10965025424957275,0.0478515625,0.2,-0.013296173885464668
