#{"t_start": 1781910846.894009, "env_id": "None"}
r,l,t
1.88,126,14.118268
1.88,11,14.152407
-1.97,128,14.579299
-3.12,89,14.870365
-1.23,127,15.258034
1.47,128,17.197573
0.0,126,17.534853
1.06,129,17.863161
-1.25,104,18.13132
1.88,66,18.737056
-1.33,128,19.046225
1.88,58,19.194749
-2.29,127,19.543513
-3.21,77,19.754146
-1.89,125,20.550848
-1.91,95,20.797283
1.88,54,20.940979
1.88,100,21.221185
1.03,102,21.470116
-1.57,129,21.765692
-1.48,134,22.542009
-2.19,127,22.937915
1.72,139,23.388475
1.88,39,23.494442
-3.58,129,24.295298
-1.31,133,24.610669
-1.96,135,24.924843
1.88,133,25.22761
-1.51,127,26.00035
1.88,20,26.052326
-1.97,130,26.38174
-2.35,135,26.730207
1.88,55,26.866664
-1.24,124,27.656228
1.88,78,27.836241
-1.26,122,28.121852
-2.58,99,28.368848
-1.3,113,28.659029
-1.23,128,29.762037
-1.67,138,30.170206
-2.33,110,30.431615
1.88,71,30.594592
-1.59,128,30.897696
-1.28,103,31.613968
1.09,156,32.015248
1.88,72,32.194334
1.88,66,32.360175
-1.02,121,32.674516
1.63,140,33.463818
1.88,26,33.527297
1.88,59,33.669428
1.6,127,33.967274
-1.56,93,34.198926
1.88,27,34.26866
-1.88,113,35.028877
1.14,140,35.425207
1.88,31,35.515178
1.88,142,35.979389
1.88,16,36.02637
1.73,93,36.308314
-1.09,133,37.076257
1.88,48,37.195076
-1.03,156,37.585119
1.88,39,37.69301
-2.95,138,38.071078
1.88,58,38.671372
-1.9,143,39.004385
-1.61,125,39.339586
1.88,35,39.44609
-2.27,128,39.764216
1.88,67,40.430528
1.3,151,40.820031
1.88,47,40.938457
1.88,80,41.164002
1.88,76,41.362214
1.88,18,41.415667
1.88,45,41.536741
1.88,40,41.654721
1.88,137,42.551459
1.88,83,42.771587
1.88,45,42.889206
1.7,133,43.233288
-1.53,108,43.499866
1.88,19,43.547584
1.88,56,44.154489
1.73,138,44.49821
-1.53,120,44.77719
1.14,144,45.104177
-2.9,81,45.289011
1.88,47,45.856661
1.88,22,45.911324
1.88,101,46.170195
1.58,121,46.474098
1.88,40,46.573978
1.88,80,46.777558
1.15,138,47.575898
1.14,132,47.904682
1.88,158,48.397448
-1.1,137,48.824674
1.88,34,48.917218
1.88,30,49.565128
1.88,49,49.698446
1.51,68,49.902425
1.88,41,50.078462
-1.2,122,50.509292
-1.42,146,50.865698
1.88,108,51.56899
-1.17,135,51.909858
-1.98,136,52.246274
-1.9,145,52.612104
1.88,29,52.684991
1.88,75,53.339367
-3.28,123,53.619579
1.88,55,53.749381
-2.48,114,54.013772
1.58,159,54.444996
1.88,49,55.199209
-3.81,96,55.452921
1.88,92,55.678615
1.18,141,56.035486
1.41,150,56.395696
1.88,58,56.947581
1.88,46,57.077225
1.88,56,57.205956
1.88,36,57.29458
1.88,67,57.463331
1.88,40,57.565233
1.74,80,57.765447
-1.13,150,58.633772
1.88,44,58.748427
1.06,149,59.134625
1.88,51,59.285999
-1.18,146,59.680496
1.88,67,59.843038
1.1,134,60.738802
1.88,18,60.788884
-2.43,117,61.222931
-1.65,119,61.619568
1.88,69,61.804405
1.88,71,61.993359
1.71,123,62.720066
1.2,149,63.083209
-1.53,124,63.389161
1.88,69,63.565215
1.34,149,64.420243
1.88,56,64.56866
1.88,41,64.673175
-1.47,144,65.031941
1.69,126,65.321118
-2.27,132,66.060817
-2.57,83,66.267916
1.88,27,66.334715
-2.38,123,66.652464
1.64,132,67.039091
1.88,129,68.036301
1.57,138,68.387624
1.88,24,68.447903
1.88,43,68.557996
1.62,143,68.920354
1.88,75,69.131972
1.04,141,70.028755
1.88,28,70.106973
1.88,27,70.178286
1.46,148,70.567935
1.88,44,70.682056
1.88,43,70.793906
1.88,91,71.016951
1.88,27,71.08019
1.88,38,71.640934
1.48,153,72.06588
1.88,34,72.149778
-1.02,153,72.534824
-0.0,139,72.886921
1.88,32,73.496783
1.88,26,73.570415
1.05,123,73.950922
1.88,92,74.219381
1.88,41,74.321618
1.88,31,74.394012
-1.37,124,74.694577
-2.18,136,75.503422
1.88,18,75.548951
1.88,51,75.677221
1.88,22,75.735029
1.88,35,75.822902
1.65,53,75.957562
1.88,93,76.198422
1.88,36,76.288938
1.88,73,76.471411
1.88,70,77.084717
1.88,51,77.213046
-2.97,90,77.435209
1.88,34,77.511596
-1.37,137,77.852253
-1.32,130,78.186893
1.68,130,78.982404
1.88,108,79.299568
1.1,135,79.681498
1.88,95,79.95466
1.73,152,80.9104
1.88,30,80.987272
-1.25,84,81.227337
1.88,46,81.349605
1.88,44,81.459979
1.88,51,81.58989
1.88,41,81.706376
1.88,52,81.850367
1.88,41,81.956826
1.88,80,82.584555
1.88,55,82.710222
1.88,43,82.805512
