time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate
2,96.2,512,-0.5120000000000001,208,1,,,,,,,,,,
5,107.55555555555556,1024,-0.14222222222222222,190,2,-2.1415262088179587,0.030793470796197653,0.1814453125,-0.09569990634918213,-0.056310930848121644,10,0.5973479747772217,0.2,0.01746202,0.0003
7,101.71428571428571,1536,-0.3107142857142858,214,3,-1.9953289404511452,0.0363536752294749,0.1890625,-0.06424783170223236,-0.04719779987353832,20,0.3151964545249939,0.2,0.0176774,0.0003
8,101.45,2048,-0.24650000000000002,229,4,-2.0194124802947044,0.05485450862906873,0.2126953125,-0.0827949047088623,-0.05539860043209046,30,0.07030874490737915,0.2,0.020015784,0.0003
10,102.83333333333333,2560,-0.2083333333333334,236,5,-2.038747237622738,0.04718051381641999,0.2158203125,-0.04784669354557991,-0.051611861283890906,40,0.10785454511642456,0.2,0.019123662,0.0003
12,107.07142857142857,3072,-0.35607142857142865,245,6,-2.055939997732639,0.02267669255961664,0.26015625,-0.05356873199343681,-0.05750849829055369,50,0.7741138339042664,0.2,0.021965522,0.0003
14,105.0,3584,-0.3648484848484848,250,7,-2.045382295548916,0.026695838273735718,0.2208984375,-0.045865047723054886,-0.052794604969676584,60,0.7385717630386353,0.2,0.019520264,0.0003
16,105.28947368421052,4096,-0.4352631578947368,255,8,-1.9822167217731477,0.028762679500505327,0.187890625,-0.07940156012773514,-0.05084946581628173,70,0.5934356451034546,0.2,0.017475909,0.0003
18,106.4186046511628,4608,-0.49953488372093013,254,9,-1.9294769257307052,0.027807480923365803,0.196875,-0.08994160592556,-0.054444187832996246,80,0.5513274669647217,0.2,0.018161274,0.0003
19,106.125,5120,-0.394375,257,10,-1.9957362025976182,0.035116423375438896,0.20703125,-0.08095599710941315,-0.05613761059939861,90,0.5867322087287903,0.2,0.018554641,0.0003
21,103.07407407407408,5632,-0.21518518518518526,261,11,-2.024232339859009,0.038170408422593026,0.2302734375,-0.05869337171316147,-0.05402913127327338,100,0.4948222041130066,0.2,0.020806562,0.0003
23,101.68333333333334,6144,-0.0831666666666667,261,12,-1.9014317765831947,0.05271586539456621,0.22109375,-0.08799196034669876,-0.05425674971193075,110,0.15546929836273193,0.2,0.020112367,0.0003
25,101.76923076923077,6656,-0.09692307692307695,263,13,-1.9343194723129273,0.04447283708723262,0.2236328125,-0.07258889824151993,-0.056376642524264754,120,0.5540522336959839,0.2,0.02085203,0.0003
27,101.48571428571428,7168,-0.11885714285714288,265,14,-1.9634962663054467,0.041341348388232294,0.19921875,-0.09829853475093842,-0.053183129499666394,130,0.5246759653091431,0.2,0.02070392,0.0003
28,97.7948717948718,7680,0.07871794871794868,265,15,-1.9195118203759194,0.034960836044047025,0.1994140625,-0.08568193018436432,-0.05064764589769766,140,0.7382078170776367,0.2,0.018588211,0.0003
30,97.05952380952381,8192,0.1646428571428571,266,16,-1.9715207189321518,0.023188827774720266,0.2353515625,-0.0864935889840126,-0.05690176644129678,150,0.25662851333618164,0.2,0.021363102,0.0003
32,97.66292134831461,8704,0.1589887640449437,268,17,-1.8445938885211945,0.022019908635411412,0.2177734375,-0.09613003581762314,-0.049800629005767406,160,0.6709375381469727,0.2,0.021637414,0.0003
34,95.82105263157895,9216,0.26452631578947355,269,18,-1.569863247871399,0.027810419927118347,0.194140625,-0.09739724546670914,-0.05112387307453901,170,0.6502091288566589,0.2,0.018088834,0.0003
36,97.02,9728,0.3007999999999999,269,19,-1.8094053387641906,0.012958558116224594,0.2578125,-0.05659608915448189,-0.0525200255564414,180,0.17332607507705688,0.2,0.019842163,0.0003
38,95.49,10240,0.3569999999999999,268,20,-1.8774040162563324,0.01950093831983395,0.2279296875,-0.03219789266586304,-0.052094471431337296,190,0.5093792676925659,0.2,0.018584995,0.0003
39,95.49,10752,0.34049999999999997,269,21,-1.8621734842658042,0.02747378167696297,0.18515625,-0.04758268967270851,-0.04641909080091864,200,0.709966778755188,0.2,0.015579797,0.0003
41,95.93,11264,0.4105,270,22,-1.7113095387816428,0.041147916798945514,0.1703125,-0.06584922969341278,-0.043801909044850616,210,0.6584244966506958,0.2,0.01618405,0.0003
43,96.02,11776,0.4184999999999999,270,23,-1.7293084397912026,0.027142699522664772,0.1716796875,-0.08877591043710709,-0.04801360657438636,220,0.7401894330978394,0.2,0.017878687,0.0003
45,91.5,12288,0.5843,271,24,-1.6064677566289902,0.038361689122393725,0.1818359375,-0.0559111051261425,-0.043836535781156274,230,0.27297669649124146,0.2,0.017349947,0.0003
47,91.66,12800,0.6612999999999997,272,25,-1.7887069925665855,0.017945567303104325,0.2357421875,-0.07460850477218628,-0.05361179071478546,240,0.7879077196121216,0.2,0.021201793,0.0003
49,90.16,13312,0.7494999999999996,270,26,-1.7974597245454789,0.03275598584441468,0.1712890625,-0.08310887217521667,-0.048719956900458786,250,0.340660035610199,0.2,0.016073897,0.0003
50,90.69,13824,0.8152999999999997,271,27,-1.4898354947566985,0.03231431184685789,0.1892578125,-0.04483983665704727,-0.04678423993755132,260,0.6242880821228027,0.2,0.01694256,0.0003
52,90.3,14336,0.8138999999999997,272,28,-1.57918701171875,0.026167591148987413,0.173828125,-0.04113176092505455,-0.04135971064097248,270,0.33684611320495605,0.2,0.013168201,0.0003
54,91.95,14848,0.7201,272,29,-1.6531775906682014,0.03600689931772649,0.196484375,-0.0601976215839386,-0.047830367810092866,280,0.22274720668792725,0.2,0.016397495,0.0003
56,92.12,15360,0.7608999999999998,272,30,-1.4928547322750092,0.03673907368793152,0.159765625,-0.06856860220432281,-0.04325635478598997,290,0.5683639049530029,0.2,0.015929576,0.0003
58,89.21,15872,0.9280999999999997,272,31,-1.4950580641627311,0.046742992009967566,0.166015625,-0.054680198431015015,-0.04603234329260886,300,0.2984888553619385,0.2,0.017448079,0.0003
60,90.1,16384,0.9236,273,32,-1.671299657225609,0.03016103495028801,0.18515625,-0.08287814259529114,-0.05290696924785152,310,0.5499573945999146,0.2,0.019517563,0.0003
61,90.0,16896,0.8827999999999997,272,33,-1.5774169445037842,0.022747121937572955,0.1455078125,-0.03826995939016342,-0.03887237047310919,320,0.5519692301750183,0.2,0.014459761,0.0003
63,86.73,17408,0.9665999999999997,273,34,-1.4416812539100647,0.03007855107425712,0.144140625,-0.047841742634773254,-0.03652942250482738,330,0.2815471887588501,0.2,0.013796062,0.0003
65,87.74,17920,0.8565999999999999,274,35,-1.548317489027977,0.028403224283829333,0.13828125,-0.06846282631158829,-0.0444130705203861,340,0.4986034631729126,0.2,0.013978314,0.0003
67,86.77,18432,0.8912999999999998,273,36,-1.2721013188362122,0.03916175665799528,0.1404296875,-0.06535078585147858,-0.04045446196105331,350,0.6293435096740723,0.2,0.015073914,0.0003
69,84.85,18944,0.9564999999999998,273,37,-1.5268648892641068,0.020063948235474527,0.178125,-0.027277475222945213,-0.0374681340996176,360,0.4179419279098511,0.2,0.018571198,0.0003
